OrderID,OrderDate,OrderTime,City,CustomerSegment,CuisineType,RestaurantID,RestaurantRating,OrderValue,DeliveryFee,DeliveryTime,DeliveryDistance,CustomerRating,DeliveryPartnerRating,CashPayment,CardPayment,WalletPayment,UPIPayment,DiscountAmount,PromoDiscount,TipAmount,TimePeriod,WeatherCondition,DayOfWeek
5001,2024-09-21,11:01,East Zone,New Customer,Fast Food,136,3.1,23.94,1.69,16,0.96,4.2,4.5,23.94,0,0,0,1.96,0,3.33,Morning,Clear,Saturday
5002,2024-09-01,13:44,West Zone,Regular Customer,Mexican,140,4.6,18.58,4.58,25,6.01,4.2,4.3,0,18.58,0,0,2.71,0,3.4,Afternoon,Cloudy,Sunday
5003,2024-09-20,19:36,South Zone,VIP Customer,Chinese,112,4.3,79.19,9.53,47,12.9,3,4.1,0,79.19,0,0,2.49,0,0,Evening,Cloudy,Friday
5004,2024-09-30,10:38,South Zone,VIP Customer,Fast Food,142,4.7,39.85,8.91,64,13.92,3.7,3.8,0,0,0,39.85,0.19,0,0,Morning,Stormy,Monday
5005,2024-09-09,10:13,East Zone,New Customer,American,202,3.9,15.15,5.18,27,4.08,4.1,4,0,0,0,15.15,2.27,0,3.15,Morning,Rainy,Monday
5006,2024-09-28,11:09,South Zone,VIP Customer,Japanese,117,4.4,57.77,7.38,41,7.29,,4.8,0,0,0,57.77,6.51,1.97,3.76,Morning,Stormy,Saturday
5007,2024-09-06,22:00,East Zone,VIP Customer,Indian,230,4.1,71.29,7.2,28,7.86,INVALID,4.3,71.29,0,0,0,0.01,0,0,Night,Cloudy,Friday
5008,2024-09-30,19:56,East Zone,New Customer,Italian,162,3.3,27.76,9.92,44,12.33,3.2,4.3,27.76,0,0,0,1.1,1.17,0,Evening,Clear,Monday
5009,2024-09-07,14:45,East Zone,Regular Customer,Thai,213,3.4,23.68,1.54,18,1.43,,4.4,0,0,0,23.68,0.81,2.04,0,Afternoon,Clear,Saturday
5010,2024-09-08,16:42,West Zone,New Customer,Indian,247,,29.18,7.17,45,12.21,3.1,4.8,0,0,0,29.18,0.24,1.89,0,Afternoon,Rainy,Sunday
5011,2024-09-02,20:46,East Zone,New Customer,Fast Food,150,3.9,3.15,4.89,,3.16,4.9,4.3,0,11.78,0,0,0.09,0.98,3.74,Evening,Stormy,Monday
5012,2024-09-28,15:10,West Zone,Regular Customer,American,155,3.6,20.76,2.28,14,0.53,4.7,4.6,0,0,0,20.76,2.44,1.01,0,Afternoon,Clear,Saturday
5013,2024-09-07,9:37,North Zone,VIP Customer,Thai,115,4.7,52.66,7.05,86,12.86,2.6,3.6,52.66,0,0,0,6.81,0,0,Morning,Stormy,Saturday
5014,2024-09-29,15:37,North Zone,VIP Customer,Chinese,208,4.3,36.23,7.34,45,10.88,3.2,4.9,0,0,36.23,0,5.09,0,5.73,Afternoon,Cloudy,Sunday
5015,2024-09-19,11:04,South Zone,VIP Customer,Mexican,134,4.2,73.36,3.97,30,5.86,4.5,4.5,0,0,73.36,0,0.09,2.2,,Morning,Clear,Thursday
5016,2024-09-29,12:16,North Zone,New Customer,Indian,170,3.5,27.38,5.4,23,3.45,4.9,3.6,0,0,27.38,0,2.61,0.12,0,Afternoon,Rainy,Sunday
5017,2024-09-05,16:10,West Zone,VIP Customer,Japanese,244,4.2,29.14,9.66,51,13.31,2.7,3.7,29.14,0,0,0,1.35,2.32,0,Afternoon,Clear,Thursday
5018,2024-09-28,9:57,East Zone,New Customer,Fast Food,127,5,34.29,9.74,51,11.37,3.7,4.8,0,0,34.29,0,0.13,1.14,0,Morning,Stormy,Saturday
5019,2024-09-30,21:51,South Zone,Regular Customer,Indian,128,4.6,45.05,5.95,19,3.73,4.9,3.8,0,0,0,45.05,4.46,0,0,Night,Clear,Monday
5020,2024-09-03,16:22,West Zone,VIP Customer,Thai,108,3.7,34.82,7.43,43,14.46,3.7,4.2,34.82,0,0,0,5.14,0,0,Afternoon,Cloudy,Tuesday
5021,2024-09-29,14:16,North Zone,VIP Customer,Japanese,101,4.7,48.72,9.72,61,14.26,3.6,4,0,48.72,0,0,2.26,0,0,Afternoon,Cloudy,Sunday
5022,2024-09-13,17:35,South Zone,New Customer,Japanese,198,N/A,18.96,7.56,44,12.59,3,4.2,0,18.96,0,0,1.92,0,0,Evening,Cloudy,Friday
5023,2024-09-26,13:42,North Zone,Regular Customer,Thai,124,4.2,22.86,3.57,20,3.39,4.8,4.2,0,22.86,0,0,3.04,0,1.84,Afternoon,Cloudy,Thursday
5024,2024-09-13,15:09,North Zone,New Customer,Japanese,157,4.3,9.36,6.05,,4.11,4.5,4.4,0,9.36,0,0,1.33,0.57,2.27,Afternoon,Stormy,Friday
5025,2024-09-27,22:57,South Zone,VIP Customer,American,216,3.5,71.19,5.83,25,4.52,3.6,3.9,0,0,71.19,0,2.9,0,0,Night,Rainy,Friday
5026,2024-09-18,10:08,South Zone,New Customer,Japanese,140,3.8,19.2,4.9,99999,5.3,4.8,4.9,0,19.2,0,0,0.06,1.11,3.8,Morning,Clear,Wednesday
5027,2024-09-10,20:54,West Zone,VIP Customer,Fast Food,225,4.4,48.97,2.17,14,0.92,,4.9,0,48.97,0,0,7.2,0,7.44,Evening,Cloudy,Tuesday
5028,2024-09-19,8:05,West Zone,New Customer,American,147,3.6,18.24,4.48,23,3.57,5,4.1,18.24,0,0,0,2.28,0,0.68,Morning,Cloudy,Thursday
5029,2024-09-12,15:41,North Zone,VIP Customer,Italian,108,4.1,71.16,7.33,42,9.51,2.8,4.5,0,71.16,0,0,8.19,0,5.64,Afternoon,Rainy,Thursday
5030,2024-09-24,11:49,South Zone,Regular Customer,Chinese,249,,35.15,7.81,61,13.67,3.5,4.4,35.15,0,0,0,0.54,2.99,0,Morning,Cloudy,Tuesday
5031,2024-09-20,11:50,North Zone,Regular Customer,Japanese,195,4.3,15.44,4.97,,6.59,4.3,4.6,15.44,0,0,0,1.01,1.49,0,Morning,Cloudy,Friday
5032,2024-09-26,23:29,West Zone,VIP Customer,Mexican,183,3.8,40.34,9.13,37,7.04,3.5,4.8,0,40.34,0,0,1.1,0,6.79,Night,Clear,Thursday
5033,2024-09-11,16:56,East Zone,VIP Customer,Italian,233,4.3,38.27,5.17,27,6.39,4,4.7,0,38.27,0,0,0.53,0,6.15,Afternoon,Clear,Wednesday
5034,2024-09-10,19:30,East Zone,Regular Customer,Thai,191,4.9,25.73,5.66,23,3.84,4.7,3.8,0,0,0,25.73,2.85,0,3.16,Evening,Cloudy,Tuesday
5035,2024-09-20,17:06,South Zone,Regular Customer,Fast Food,193,3.6,15.5,7.46,45,8.24,3.9,4.5,0,15.5,0,0,1.75,0,0,Evening,Cloudy,Friday
5036,2024-09-01,17:30,West Zone,Regular Customer,Thai,148,,47.94,9.38,26,7.43,4.2,3.7,47.94,0,0,0,5.83,0.41,0,Evening,Cloudy,Sunday
5037,2024-09-18,21:38,South Zone,VIP Customer,Japanese,216,4.9,72.31,7.57,62,14.86,INVALID,4.6,0,0,0,72.31,6.78,0,2.49,Night,Cloudy,Wednesday
5038,2024-09-08,13:35,North Zone,New Customer,Italian,205,3.1,15.86,5.62,33,3.86,3.7,3.9,0,0,0,15.86,1.88,0,,Afternoon,Stormy,Sunday
5039,2024-09-26,14:27,North Zone,VIP Customer,Fast Food,139,4.8,28.93,2.12,27,2.91,3.9,4.2,0,0,28.93,0,1.32,0,,Afternoon,Rainy,Thursday
5040,2024-09-09,23:28,North Zone,VIP Customer,Italian,211,4.9,26.42,5.52,28,3.82,,4.5,0,0,26.42,0,1.07,0,6.54,Night,Cloudy,Monday
5041,2024-09-16,22:58,East Zone,New Customer,Japanese,226,3.8,17.39,5.51,41,5.33,3.2,4.5,17.39,0,0,0,1.04,0.06,0,Night,Stormy,Monday
5042,2024-09-03,18:16,East Zone,New Customer,Japanese,232,3.9,19.16,4.59,33,3.22,3.6,3.9,19.16,0,0,0,0.38,0,0,Evening,Stormy,Tuesday
5043,2024-09-29,23:07,North Zone,VIP Customer,Fast Food,141,,55.37,3.48,19,1.85,4.6,3.7,0,0,55.37,0,7.75,0,1.95,Night,Clear,Sunday
5044,2024-09-16,23:15,West Zone,VIP Customer,Indian,199,3.5,72.52,5.87,29,4.51,3.5,4.6,0,72.52,0,0,9.11,0,5.96,Night,Rainy,Monday
5045,2024-09-28,12:28,West Zone,Regular Customer,Thai,242,3.5,47.65,9.93,62,13.11,3.7,3.6,0,0,0,47.65,5.32,3.87,0,Afternoon,Stormy,Saturday
5046,2024-09-13,12:31,North Zone,New Customer,Thai,126,4.9,22.2,9.03,35,7.13,3.6,4.7,0,0,0,22.2,0.88,0.88,0,Afternoon,Clear,Friday
5047,2024-09-03,18:54,West Zone,Regular Customer,American,239,3.9,23.22,7.51,31,10.42,3.6,4.5,23.22,0,0,0,3.04,0,0,Evening,Clear,Tuesday
5048,2024-09-23,17:57,North Zone,New Customer,Thai,115,,18.12,2.56,15,2.61,4.1,4.8,0,0,18.12,0,1.68,0,1,Evening,Cloudy,Monday
5049,2024-09-15,16:29,East Zone,VIP Customer,Italian,220,4.4,29.06,9.96,58,14.21,3.2,4,0,0,29.06,0,4.36,0.31,0,Afternoon,Rainy,Sunday
5050,2024-09-13,19:36,East Zone,VIP Customer,Mexican,106,4.5,25.45,9.22,65,13.04,3.7,4.9,0,0,0,25.45,2.96,0,6.81,Evening,Cloudy,Friday
5051,2024-09-08,14:39,East Zone,VIP Customer,Indian,125,3.7,68.37,2.23,11,0.98,4.4,3.8,68.37,0,0,0,8.07,2.5,1.45,Afternoon,Cloudy,Sunday
5052,2024-09-06,16:58,West Zone,Regular Customer,Thai,130,4.9,19.93,9.51,61,14.51,3.7,4,0,0,0,19.93,2.36,0,0,Afternoon,Clear,Friday
5053,2024-09-18,11:29,East Zone,VIP Customer,Mexican,250,3.7,30.96,3.58,27,3.89,4.1,4.5,0,0,0,30.96,2.95,0,6.21,Morning,Cloudy,Wednesday
5054,2024-09-21,21:07,South Zone,New Customer,Italian,178,4.9,10.62,6.97,53,13.37,3.5,4.3,0,0,0,10.62,0.94,0.94,0,Night,Clear,Saturday
5055,2024-09-21,11:53,West Zone,VIP Customer,Japanese,172,3.7,36.95,4.21,,6.95,4.4,4.5,36.95,0,0,0,0.34,0,7.81,Morning,Cloudy,Saturday
5056,2024-09-28,22:05,South Zone,VIP Customer,Italian,113,3.4,79.39,7.22,69,11.91,2.8,4.8,0,0,79.39,0,3.91,0,7.4,Night,Rainy,Saturday
5057,2024-09-01,16:54,South Zone,New Customer,Mexican,145,,11.56,5.87,23,5.69,4.1,4.6,11.56,0,0,0,0.91,0.55,2.3,Afternoon,Clear,Sunday
5058,2024-09-04,22:32,South Zone,VIP Customer,Italian,234,4.4,60.38,3.5,16,0.95,4.5,4.9,0,0,60.38,0,0.67,0,5.65,Night,Stormy,Wednesday
5059,2024-09-03,12:17,East Zone,Regular Customer,Mexican,217,4.4,42.76,2.81,21,2.16,4.2,4.2,0,0,0,42.76,1.47,0,1.96,Afternoon,Clear,Tuesday
5060,2024-09-04,18:27,East Zone,VIP Customer,Mexican,196,4.6,28.69,6.83,,12.56,3.3,4.4,0,28.69,0,0,2.42,0,0,Evening,Stormy,Wednesday
5061,2024-09-04,21:22,West Zone,VIP Customer,Italian,174,3.7,30.7,7.04,29,7.86,4.1,3.7,0,0,30.7,0,1.28,0,2.46,Night,Cloudy,Wednesday
5062,2024-09-25,8:38,East Zone,New Customer,Indian,170,3.3,17.48,3.93,16,3.13,NA,3.5,0,0,17.48,0,1.96,0,1.69,Morning,Cloudy,Wednesday
5063,2024-09-12,17:46,East Zone,VIP Customer,Chinese,114,4,66.49,1.66,15,1.22,4.4,3.9,0,66.49,0,0,7.53,0,1.49,Evening,Rainy,Thursday
5064,2024-09-22,23:33,East Zone,New Customer,Fast Food,202,3.7,13.52,9.19,59,14.21,2.5,4.6,13.52,0,0,0,0.36,0,0,Night,Clear,Sunday
5065,2024-09-23,15:32,East Zone,New Customer,Japanese,111,4.4,20.41,2.13,220,1.63,4.4,3.7,0,0,0,20.41,0.06,0,2.66,Afternoon,Clear,Monday
5066,2024-09-27,19:05,West Zone,New Customer,Fast Food,212,,18.69,4.52,20,5,4.6,4.3,0,0,0,18.69,0.54,0.66,2.76,Evening,Clear,Friday
5067,2024-09-05,15:06,South Zone,Regular Customer,Fast Food,145,,21.2,8.23,55,11.71,3.9,4.3,0,21.2,0,0,2.02,1.83,0,Afternoon,Clear,Thursday
5068,2024-09-21,18:09,West Zone,New Customer,American,214,3.1,23.97,3.72,21,5.6,4.8,3.6,0,0,23.97,0,3.11,1.47,2.12,Evening,Cloudy,Saturday
5069,2024-09-18,9:28,South Zone,Regular Customer,American,229,4,30.77,9.43,54,12.26,2.8,3.9,0,30.77,0,0,2.02,0,0,Morning,Clear,Wednesday
